City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Bluff,NZ,2020-05-23 00:22:41,-46.6,168.33,50.31,80,32,7.07
99,Borger,NL,2020-05-23 00:22:41,52.92,6.79,57.0,61,95,3.0
100,Bredasdorp,ZA,2020-05-23 00:22:41,-34.53,20.04,53.6,71,0,8.05
101,Phalodi,IN,2020-05-23 00:19:08,27.13,72.37,87.39,33,0,12.15
102,Lagoa,PT,2020-05-23 00:22:41,39.05,-27.98,59.38,82,98,9.8
103,Castro,BR,2020-05-23 00:22:41,-24.79,-50.01,61.59,97,100,5.48
104,Kulunda,RU,2020-05-23 00:22:42,52.57,78.94,61.57,47,94,6.06
105,Chuy,UY,2020-05-23 00:22:42,-33.7,-53.46,61.88,84,100,18.77
106,Bereda,ES,2020-05-23 00:22:42,43.27,-7.54,59.0,100,88,1.99
107,Sola,VU,2020-05-23 00:22:42,-13.88,167.55,84.2,66,75,6.93
108,Longyearbyen,SJ,2020-05-23 00:22:39,78.22,15.64,33.8,64,20,6.93
109,Sur,OM,2020-05-23 00:22:43,22.57,59.53,83.98,66,26,12.37
110,Hithadhoo,MV,2020-05-23 00:22:43,-0.6,73.08,83.84,79,100,14.27
111,Isangel,VU,2020-05-23 00:22:43,-19.55,169.27,80.6,57,40,9.17
112,Mokhsogollokh,RU,2020-05-23 00:22:43,61.47,128.92,51.1,48,79,8.63
113,Kitimat,CA,2020-05-23 00:22:19,54.05,-128.65,60.8,55,90,10.29
114,Avarua,CK,2020-05-23 00:22:43,-21.21,-159.78,80.6,74,100,21.92
115,Carnarvon,AU,2020-05-23 00:22:44,-24.87,113.63,64.18,32,0,14.81
116,Valparaiso,CL,2020-05-23 00:21:59,-33.04,-71.63,59.0,72,60,13.73
117,Tuatapere,NZ,2020-05-23 00:22:44,-46.13,167.68,52.84,67,2,3.31
118,Ponta Do Sol,PT,2020-05-23 00:22:44,32.67,-17.1,66.0,72,93,5.28
119,Atuona,PF,2020-05-23 00:22:44,-9.8,-139.03,80.67,77,24,16.8
120,Tagusao,PH,2020-05-23 00:22:45,9.19,117.81,84.06,71,100,5.7
121,La Ronge,CA,2020-05-23 00:22:45,55.1,-105.28,53.6,81,20,14.99
122,Esperance,AU,2020-05-23 00:22:45,-33.87,121.9,51.8,71,43,16.11
123,Arraial Do Cabo,BR,2020-05-23 00:22:45,-22.97,-42.03,73.4,88,55,8.05
